Name,Symbol,Total gain/loss,Total gain/loss_Currency,Total gain/loss %,Holding value,Holding value_Currency
Saksoft Ltd,SAKSOFT:NSI,142.60,INR,3.12,n/a,n/a
Sakthi Sugars Ltd,SAKHTISUG:NSI,-66.25,INR,-0.9785,n/a,n/a
Salora International Ltd,SALORAINTL:NSI,21.00,INR,2.44,n/a,n/a
Sandesh Ltd,SANDESH:NSI,657.05,INR,4.31,n/a,n/a
Saregama India Ltd,SAREGAMA:NSI,"6,123.00",INR,37.53,n/a,n/a
Sasken Technologies Ltd,SASKEN:NSI,"2,490.90",INR,13.18,n/a,n/a
SE Investments Ltd,SEINV:NSI,94.50,INR,0.5616,n/a,n/a
Seamec Ltd,SEAMECLTD:NSI,"2,080.50",INR,27.04,n/a,n/a
Seshasayee Paper and Boards Ltd,SESHAPAPER:NSI,554.40,INR,2.69,n/a,n/a
Shanthi Gears Ltd,SHANTIGEAR:NSI,63.70,INR,0.2669,n/a,n/a
Shilpi Cable Technologies Ltd,SHILPI:NSI,873.30,INR,19.72,n/a,n/a
Shirpur Gold Refinery Ltd,SHIRPUR-G:NSI,247.00,INR,2.50,n/a,n/a
Shree Rama Newsprint Ltd,RAMANEWS:NSI,559.30,INR,7.20,n/a,n/a
Shree Renuka Sugars Ltd,RENUKA:NSI,526.25,INR,1.81,n/a,n/a
Shrenuj and Company Ltd,SHRENUJ:NSI,-21.50,INR,-9.09,n/a,n/a
Simplex Infrastructures Ltd,SIMPLEXINF:NSI,"1,617.00",INR,3.32,n/a,n/a
Smartlink Network Systems Ltd,SMARTLINK:NSI,90.00,INR,1.81,n/a,n/a
SMS Pharmaceuticals Ltd,SMSPHARMA:NSI,-170.10,INR,-0.8519,n/a,n/a
Snowman Logistics Ltd,SNOWMAN:NSI,"1,971.60",INR,11.29,n/a,n/a
Sona Koyo Steering Systems Ltd,SONASTEER:NSI,"1,351.15",INR,2.94,n/a,n/a
Sonata Software Ltd,SONATSOFTW:NSI,"2,234.70",INR,6.48,n/a,n/a
